samples	OTU1	OTU10	OTU106	OTU107	OTU11	OTU116	OTU12	OTU13	OTU135	OTU14	OTU140	OTU15	OTU151	OTU16	OTU161	OTU169	OTU17	OTU18	OTU19	OTU2	OTU20	OTU207	OTU21	OTU22	OTU224	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU284	OTU29	OTU3	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU4	OTU40	OTU401	OTU41	OTU42	OTU43	OTU432	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU5	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU552	OTU56	OTU57	OTU58	OTU59	OTU6	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU7	OTU70	OTU71	OTU711	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU79	OTU8	OTU80	OTU82	OTU83	OTU85	OTU9	OTU92	OTU98	OTU99
M1	-0.643045181	-0.643045181	-0.643045181	1.221739424	4.182355226	3.270794356	3.751403974	4.438359184	4.878779307	-0.643045181	2.484512486	-0.643045181	4.266261861	-0.643045181	5.033397241	3.340875564	5.327984721	5.828457706	-0.643045181	7.542887623	4.392134895	1.469919053	5.490352862	5.122715723	4.795429307	5.445999695	3.773602444	2.761177922	-0.643045181	4.007445955	3.773602444	5.506005696	5.743374896	5.580792917	3.306448756	4.482540859	-0.643045181	-0.643045181	-0.643045181	3.773602444	4.471677091	4.05826129	3.897344031	2.761177922	1.221739424	2.632382814	-0.643045181	3.657327601	-0.643045181	5.13404408	-0.643045181	5.087939689	3.437569189	-0.643045181	-0.643045181	5.039606512	3.916556917	5.875163077	-0.643045181	5.064065084	3.155503674	5.250856652	1.469919053	6.78301676	-0.643045181	-0.643045181	3.270794356	3.155503674	3.437569189	-0.643045181	3.437569189	3.113917641	-0.643045181	4.122231937	3.632357514	2.698852459	-0.643045181	-0.643045181	1.469919053	1.221739424	4.704495157	2.561178367	3.728701523	-0.643045181	-0.643045181	-0.643045181	4.007445955	3.437569189	1.469919053	1.976339383	-0.643045181	5.715427106	-0.643045181	1.668589748	1.83425687	3.897344031	4.167659885	6.315316793	3.340875564	2.875261609
M9	-0.438527248	7.179098235	-0.438527248	2.515435612	-0.438527248	-0.438527248	5.10487305	5.274605317	4.021091541	2.415850907	2.689030418	-0.438527248	-0.438527248	-0.438527248	3.024363702	-0.438527248	-0.438527248	-0.438527248	-0.438527248	4.32674987	-0.438527248	-0.438527248	5.788907329	5.972096098	-0.438527248	5.646386244	3.909989608	4.992013838	2.965695854	1.674436985	-0.438527248	-0.438527248	5.953998786	7.533656596	4.759969783	6.229007679	-0.438527248	-0.438527248	-0.438527248	-0.438527248	3.360021607	1.674436985	-0.438527248	5.891193657	7.27533857	-0.438527248	1.87310768	-0.438527248	6.071595802	-0.438527248	-0.438527248	-0.438527248	-0.438527248	5.824178134	3.730249909	-0.438527248	4.211963888	2.7656963	2.7656963	-0.438527248	-0.438527248	-0.438527248	4.73967482	-0.438527248	-0.438527248	-0.438527248	-0.438527248	5.494682027	2.965695854	5.3553175	-0.438527248	4.31113675	-0.438527248	-0.438527248	-0.438527248	-0.438527248	3.229685569	-0.438527248	-0.438527248	-0.438527248	2.836900746	2.605995189	-0.438527248	-0.438527248	-0.438527248	-0.438527248	-0.438527248	-0.438527248	-0.438527248	6.300378948	-0.438527248	6.344592022	-0.438527248	-0.438527248	-0.438527248	3.578674438	-0.438527248	3.4383395	-0.438527248	-0.438527248
M11	3.217526926	7.372487414	2.631512525	-0.496045141	4.574001918	-0.496045141	-0.496045141	-0.496045141	4.413261901	-0.496045141	-0.496045141	-0.496045141	-0.496045141	-0.496045141	3.380821607	-0.496045141	6.640727315	-0.496045141	-0.496045141	2.45791772	6.412709638	-0.496045141	4.732142344	6.210038942	1.815589788	6.119289584	5.451515014	4.934495945	-0.496045141	4.741846448	4.04434407	5.533546865	-0.496045141	7.233929922	1.616919093	4.439735982	-0.496045141	-0.496045141	-0.496045141	2.908177962	2.845852498	4.760976634	-0.496045141	5.752700845	-0.496045141	-0.496045141	-0.496045141	6.119289584	-0.496045141	-0.496045141	-0.496045141	-0.496045141	1.616919093	-0.496045141	-0.496045141	-0.496045141	5.64128914	-0.496045141	-0.496045141	3.553365449	5.04021482	-0.496045141	-0.496045141	4.902117561	-0.496045141	-0.496045141	2.908177962	2.845852498	4.386067839	6.502962509	1.368739463	4.063556957	-0.496045141	3.302503714	1.368739463	-0.496045141	-0.496045141	-0.496045141	3.022261649	-0.496045141	1.368739463	1.616919093	-0.496045141	4.253618857	-0.496045141	-0.496045141	-0.496045141	3.614828723	-0.496045141	-0.496045141	3.727465238	5.935285941	-0.496045141	-0.496045141	1.981256909	5.432334374	2.631512525	-0.496045141	-0.496045141	5.752700845
M17	7.021288407	-0.640922932	3.818695858	2.213455223	-0.640922932	2.102845352	5.130518191	6.13184535	-0.640922932	6.196312336	-0.640922932	-0.640922932	-0.640922932	-0.640922932	-0.640922932	-0.640922932	-0.640922932	-0.640922932	-0.640922932	6.084983406	-0.640922932	5.659195417	5.23273017	6.194359401	-0.640922932	3.376278754	4.828670364	4.577465357	3.439691437	4.47379934	-0.640922932	-0.640922932	2.929889355	-0.640922932	3.555595255	2.929889355	-0.640922932	-0.640922932	-0.640922932	6.060702332	5.119125302	1.836379118	-0.640922932	4.139727279	-0.640922932	3.272916604	4.644124965	4.537279136	-0.640922932	-0.640922932	5.066187333	-0.640922932	-0.640922932	1.670711996	2.313039929	-0.640922932	5.549951185	3.197551385	4.944280736	3.342997813	-0.640922932	-0.640922932	2.102845352	-0.640922932	-0.640922932	-0.640922932	3.342997813	2.929889355	3.027289885	-0.640922932	5.406019324	-0.640922932	-0.640922932	-0.640922932	5.850076464	-0.640922932	3.974197585	6.358084718	-0.640922932	3.342997813	4.88814534	-0.640922932	-0.640922932	-0.640922932	-0.640922932	4.689157337	-0.640922932	-0.640922932	4.169782133	-0.640922932	-0.640922932	6.349752031	-0.640922932	-0.640922932	-0.640922932	-0.640922932	5.885305687	-0.640922932	-0.640922932	3.582587447
M24	5.92257493	6.521263944	3.21379904	4.976401924	3.49647769	3.840348714	6.164142798	5.413440536	2.641857143	3.440204054	-0.700040497	-0.700040497	-0.700040497	-0.700040497	3.31716119	4.065236621	6.42801794	-0.700040497	-0.700040497	5.974406104	5.368174632	4.299012833	4.912091759	5.237975325	2.96817232	4.931822751	5.325166498	4.850449516	3.056922324	3.878412301	4.857489319	4.457446175	4.358518786	5.815479949	3.624694025	3.575362198	-0.700040497	-0.700040497	4.033762741	4.951171952	5.64256096	4.139842422	-0.700040497	4.299012833	6.199590964	3.523469882	-0.700040497	3.549752604	-0.700040497	-0.700040497	-0.700040497	-0.700040497	4.16819301	-0.700040497	3.859561601	4.976401924	4.5850074	1.164744107	3.440204054	3.440204054	4.478161571	-0.700040497	-0.700040497	5.233168778	-0.700040497	-0.700040497	4.110664568	4.706315614	3.878412301	-0.700040497	4.182072483	3.380573873	-0.700040497	4.235740626	3.800778765	-0.700040497	2.253922364	-0.700040497	3.575362198	2.87077179	4.392593632	-0.700040497	-0.700040497	5.342592337	-0.700040497	-0.700040497	-0.700040497	1.777261554	-0.700040497	-0.700040497	-0.700040497	5.193861335	-0.700040497	4.033762741	3.950450639	3.671706207	2.575387498	-0.700040497	-0.700040497	3.49647769
F1W1	5.979247772	4.222381359	3.125074553	4.222381359	6.20619425	2.56202823	1.598235164	4.871803904	1.9059848	6.154574645	-0.713399764	2.954813053	-0.713399764	-0.713399764	3.510110615	3.085149091	5.102357666	-0.713399764	5.324904995	6.460279868	3.000172303	2.857412523	1.15138484	4.571648133	4.222381359	4.808424724	3.536393337	5.205249681	4.379234365	2.331122674	3.65834694	4.285653566	3.303801922	5.802120681	1.763902286	4.950507238	2.490823784	4.763824244	1.15138484	4.433566032	3.611334758	-0.713399764	-0.713399764	3.483118423	6.792742364	3.70324786	-0.713399764	4.051877354	-0.713399764	3.085149091	-0.713399764	4.356647295	-0.713399764	2.954813053	4.659772049	3.043563057	4.379234365	5.857101154	-0.713399764	5.21012655	4.345159518	-0.713399764	-0.713399764	5.606550668	-0.713399764	-0.713399764	4.020403473	2.240563096	2.331122674	-0.713399764	3.27052098	5.404096532	-0.713399764	-0.713399764	-0.713399764	3.901720753	-0.713399764	-0.713399764	3.787419497	3.163466984	5.979247772	3.746219026	-0.713399764	-0.713399764	-0.713399764	-0.713399764	-0.713399764	2.804907026	1.598235164	-0.713399764	-0.713399764	4.422933289	-0.713399764	2.490823784	3.846202334	4.126483155	-0.713399764	3.236094173	-0.713399764	4.504988525
F4W1	5.50588488	-0.66998239	3.470262161	3.279511546	5.07272938	3.701764314	6.171147343	5.31028332	5.151178998	5.381250797	1.194802214	-0.66998239	6.853989937	6.953881694	3.168491927	2.184395765	6.22964907	-0.66998239	-0.66998239	5.528311534	1.194802214	4.548405898	5.213846327	5.213846327	-0.66998239	4.110667821	5.592722992	3.889619708	5.398232738	4.719919215	4.304240365	-0.66998239	3.553527989	-0.66998239	3.168491927	4.125808155	-0.66998239	-0.66998239	-0.66998239	-0.66998239	4.844545458	3.701764314	-0.66998239	5.134878718	-0.66998239	4.047704463	4.225820057	-0.66998239	-0.66998239	5.319434607	-0.66998239	-0.66998239	4.304240365	3.128566465	5.333006406	-0.66998239	-0.66998239	1.442981843	2.605445604	4.095294728	4.341258781	-0.66998239	3.830836871	-0.66998239	-0.66998239	-0.66998239	2.457575276	4.651252178	5.443498643	-0.66998239	-0.66998239	4.21213059	-0.66998239	2.374540047	2.605445604	-0.66998239	-0.66998239	-0.66998239	-0.66998239	4.744500543	5.427274397	4.047704463	-0.66998239	-0.66998239	-0.66998239	-0.66998239	-0.66998239	-0.66998239	1.442981843	-0.66998239	-0.66998239	6.557944152	-0.66998239	-0.66998239	1.442981843	5.532000895	5.575243085	1.194802214	-0.66998239	2.734240712
F9W1	-0.670844437	4.109805774	-0.670844437	5.218033522	6.342989282	2.997368381	6.526250631	6.219579704	2.733378666	5.257535078	1.640790492	5.922324623	-0.670844437	-0.670844437	4.139860628	4.277915454	5.384661349	4.632460471	5.523746466	5.904738439	3.086118385	2.899967851	-0.670844437	5.304814032	-0.670844437	2.671053203	5.066021073	4.376093564	4.68531293	2.373678001	4.57665799	5.462553606	3.869544775	5.899656482	1.640790492	4.865415524	-0.670844437	-0.670844437	5.681309712	3.409769933	4.999349917	4.238462605	-0.670844437	4.595606923	7.201160224	3.409769933	1.806457614	3.52567375	-0.670844437	-0.670844437	3.2786495	4.567047152	4.19738907	2.45671323	1.442119797	4.941287819	5.649105995	4.947908168	-0.670844437	3.677672419	4.364335639	-0.670844437	-0.670844437	1.442119797	2.373678001	-0.670844437	3.767519568	4.410559928	5.144912994	-0.670844437	3.84995551	6.45429237	-0.670844437	2.533379111	2.533379111	1.442119797	-0.670844437	-0.670844437	3.653890085	2.604583558	3.313076308	4.183314242	-0.670844437	-0.670844437	-0.670844437	-0.670844437	-0.670844437	3.629528345	1.442119797	1.193940168	-0.670844437	5.474316141	-0.670844437	3.723604718	3.167629881	3.745803188	4.879645576	-0.670844437	-0.670844437	-0.670844437
F11W1	6.31528433	-0.665298882	3.610103813	-0.665298882	3.584494219	1.954085682	5.976476513	4.741057229	2.610129113	2.462258784	1.199485722	-0.665298882	-0.665298882	5.822938464	2.797592069	-0.665298882	4.953453722	6.193170656	-0.665298882	6.158185064	5.198073996	4.216814098	3.875090329	4.002419209	3.318621863	4.188859797	5.444150701	4.393260401	-0.665298882	3.773065123	5.065685987	5.041811383	1.199485722	5.844824168	5.253350563	4.819498052	-0.665298882	-0.665298882	4.638006026	-0.665298882	4.96003053	3.683217974	-0.665298882	3.931655831	4.036007589	4.781046564	3.531219305	4.582203545	6.871355923	-0.665298882	-0.665298882	5.134069217	3.65943564	4.145406183	2.379223556	3.133249973	2.905513405	5.690019326	2.738924221	4.115351329	4.562888603	-0.665298882	3.610103813	4.188859797	-0.665298882	-0.665298882	2.078469402	5.394461324	4.638006026	5.983567903	2.95539906	5.794890068	1.199485722	-0.665298882	1.954085682	2.797592069	-0.665298882	-0.665298882	4.582203545	2.189079273	4.270482241	-0.665298882	-0.665298882	-0.665298882	-0.665298882	4.543193235	-0.665298882	3.048273185	1.199485722	-0.665298882	-0.665298882	6.101206985	5.444150701	3.503478275	2.797592069	3.133249973	5.600866113	-0.665298882	-0.665298882	4.002419209
F23W1	-0.443829179	5.168303077	-0.443829179	3.927917525	4.929342634	2.175555385	4.517743187	5.620167424	5.010325756	-0.443829179	-0.443829179	-0.443829179	-0.443829179	2.175555385	3.831573516	-0.443829179	5.669651854	-0.443829179	-0.443829179	6.724260333	4.223888912	-0.443829179	5.603113078	5.439999539	4.189133024	2.410548976	6.369715316	3.994534826	4.336821032	3.505664758	-0.443829179	6.154308218	1.669135055	6.027673708	2.175555385	4.831963678	-0.443829179	-0.443829179	-0.443829179	-0.443829179	4.859475729	5.393371046	-0.443829179	5.063348398	6.857870554	1.420955425	-0.443829179	4.764662938	-0.443829179	-0.443829179	-0.443829179	-0.443829179	5.232613242	2.299939105	-0.443829179	4.567411992	1.420955425	-0.443829179	-0.443829179	-0.443829179	4.970653754	6.672491173	-0.443829179	-0.443829179	-0.443829179	7.399341868	-0.443829179	-0.443829179	5.287155691	-0.443829179	-0.443829179	5.419543699	6.732633839	5.048483761	-0.443829179	3.224383638	-0.443829179	-0.443829179	-0.443829179	-0.443829179	2.898068461	3.313133642	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	6.571638394	-0.443829179	2.831598816	-0.443829179	3.313133642	1.669135055	-0.443829179	2.299939105	2.898068461
