ID	Treatment	OTU1	OTU10	OTU106	OTU107	OTU11	OTU116	OTU12	OTU13	OTU135	OTU14	OTU140	OTU15	OTU151	OTU16	OTU161	OTU169	OTU17	OTU18	OTU19	OTU2	OTU20	OTU207	OTU21	OTU22	OTU224	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU284	OTU29	OTU3	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU4	OTU40	OTU401	OTU41	OTU42	OTU43	OTU432	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU5	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU552	OTU56	OTU57	OTU58	OTU59	OTU6	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU7	OTU70	OTU71	OTU711	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU79	OTU8	OTU80	OTU82	OTU83	OTU85	OTU9	OTU92	OTU98	OTU99
F1W1	AX	5.979247772	4.222381359	3.125074553	4.222381359	6.20619425	2.56202823	1.598235164	4.871803904	1.9059848	6.154574645	-0.713399764	2.954813053	-0.713399764	-0.713399764	3.510110615	3.085149091	5.102357666	-0.713399764	5.324904995	6.460279868	3.000172303	2.857412523	1.15138484	4.571648133	4.222381359	4.808424724	3.536393337	5.205249681	4.379234365	2.331122674	3.65834694	4.285653566	3.303801922	5.802120681	1.763902286	4.950507238	2.490823784	4.763824244	1.15138484	4.433566032	3.611334758	-0.713399764	-0.713399764	3.483118423	6.792742364	3.70324786	-0.713399764	4.051877354	-0.713399764	3.085149091	-0.713399764	4.356647295	-0.713399764	2.954813053	4.659772049	3.043563057	4.379234365	5.857101154	-0.713399764	5.21012655	4.345159518	-0.713399764	-0.713399764	5.606550668	-0.713399764	-0.713399764	4.020403473	2.240563096	2.331122674	-0.713399764	3.27052098	5.404096532	-0.713399764	-0.713399764	-0.713399764	3.901720753	-0.713399764	-0.713399764	3.787419497	3.163466984	5.979247772	3.746219026	-0.713399764	-0.713399764	-0.713399764	-0.713399764	-0.713399764	2.804907026	1.598235164	-0.713399764	-0.713399764	4.422933289	-0.713399764	2.490823784	3.846202334	4.126483155	-0.713399764	3.236094173	-0.713399764	4.504988525
F4W1	AX	5.50588488	-0.66998239	3.470262161	3.279511546	5.07272938	3.701764314	6.171147343	5.31028332	5.151178998	5.381250797	1.194802214	-0.66998239	6.853989937	6.953881694	3.168491927	2.184395765	6.22964907	-0.66998239	-0.66998239	5.528311534	1.194802214	4.548405898	5.213846327	5.213846327	-0.66998239	4.110667821	5.592722992	3.889619708	5.398232738	4.719919215	4.304240365	-0.66998239	3.553527989	-0.66998239	3.168491927	4.125808155	-0.66998239	-0.66998239	-0.66998239	-0.66998239	4.844545458	3.701764314	-0.66998239	5.134878718	-0.66998239	4.047704463	4.225820057	-0.66998239	-0.66998239	5.319434607	-0.66998239	-0.66998239	4.304240365	3.128566465	5.333006406	-0.66998239	-0.66998239	1.442981843	2.605445604	4.095294728	4.341258781	-0.66998239	3.830836871	-0.66998239	-0.66998239	-0.66998239	2.457575276	4.651252178	5.443498643	-0.66998239	-0.66998239	4.21213059	-0.66998239	2.374540047	2.605445604	-0.66998239	-0.66998239	-0.66998239	-0.66998239	4.744500543	5.427274397	4.047704463	-0.66998239	-0.66998239	-0.66998239	-0.66998239	-0.66998239	-0.66998239	1.442981843	-0.66998239	-0.66998239	6.557944152	-0.66998239	-0.66998239	1.442981843	5.532000895	5.575243085	1.194802214	-0.66998239	2.734240712
F9W1	AX	-0.670844437	4.109805774	-0.670844437	5.218033522	6.342989282	2.997368381	6.526250631	6.219579704	2.733378666	5.257535078	1.640790492	5.922324623	-0.670844437	-0.670844437	4.139860628	4.277915454	5.384661349	4.632460471	5.523746466	5.904738439	3.086118385	2.899967851	-0.670844437	5.304814032	-0.670844437	2.671053203	5.066021073	4.376093564	4.68531293	2.373678001	4.57665799	5.462553606	3.869544775	5.899656482	1.640790492	4.865415524	-0.670844437	-0.670844437	5.681309712	3.409769933	4.999349917	4.238462605	-0.670844437	4.595606923	7.201160224	3.409769933	1.806457614	3.52567375	-0.670844437	-0.670844437	3.2786495	4.567047152	4.19738907	2.45671323	1.442119797	4.941287819	5.649105995	4.947908168	-0.670844437	3.677672419	4.364335639	-0.670844437	-0.670844437	1.442119797	2.373678001	-0.670844437	3.767519568	4.410559928	5.144912994	-0.670844437	3.84995551	6.45429237	-0.670844437	2.533379111	2.533379111	1.442119797	-0.670844437	-0.670844437	3.653890085	2.604583558	3.313076308	4.183314242	-0.670844437	-0.670844437	-0.670844437	-0.670844437	-0.670844437	3.629528345	1.442119797	1.193940168	-0.670844437	5.474316141	-0.670844437	3.723604718	3.167629881	3.745803188	4.879645576	-0.670844437	-0.670844437	-0.670844437
F11W1	AX	6.31528433	-0.665298882	3.610103813	-0.665298882	3.584494219	1.954085682	5.976476513	4.741057229	2.610129113	2.462258784	1.199485722	-0.665298882	-0.665298882	5.822938464	2.797592069	-0.665298882	4.953453722	6.193170656	-0.665298882	6.158185064	5.198073996	4.216814098	3.875090329	4.002419209	3.318621863	4.188859797	5.444150701	4.393260401	-0.665298882	3.773065123	5.065685987	5.041811383	1.199485722	5.844824168	5.253350563	4.819498052	-0.665298882	-0.665298882	4.638006026	-0.665298882	4.96003053	3.683217974	-0.665298882	3.931655831	4.036007589	4.781046564	3.531219305	4.582203545	6.871355923	-0.665298882	-0.665298882	5.134069217	3.65943564	4.145406183	2.379223556	3.133249973	2.905513405	5.690019326	2.738924221	4.115351329	4.562888603	-0.665298882	3.610103813	4.188859797	-0.665298882	-0.665298882	2.078469402	5.394461324	4.638006026	5.983567903	2.95539906	5.794890068	1.199485722	-0.665298882	1.954085682	2.797592069	-0.665298882	-0.665298882	4.582203545	2.189079273	4.270482241	-0.665298882	-0.665298882	-0.665298882	-0.665298882	4.543193235	-0.665298882	3.048273185	1.199485722	-0.665298882	-0.665298882	6.101206985	5.444150701	3.503478275	2.797592069	3.133249973	5.600866113	-0.665298882	-0.665298882	4.002419209
F23W1	AX	-0.443829179	5.168303077	-0.443829179	3.927917525	4.929342634	2.175555385	4.517743187	5.620167424	5.010325756	-0.443829179	-0.443829179	-0.443829179	-0.443829179	2.175555385	3.831573516	-0.443829179	5.669651854	-0.443829179	-0.443829179	6.724260333	4.223888912	-0.443829179	5.603113078	5.439999539	4.189133024	2.410548976	6.369715316	3.994534826	4.336821032	3.505664758	-0.443829179	6.154308218	1.669135055	6.027673708	2.175555385	4.831963678	-0.443829179	-0.443829179	-0.443829179	-0.443829179	4.859475729	5.393371046	-0.443829179	5.063348398	6.857870554	1.420955425	-0.443829179	4.764662938	-0.443829179	-0.443829179	-0.443829179	-0.443829179	5.232613242	2.299939105	-0.443829179	4.567411992	1.420955425	-0.443829179	-0.443829179	-0.443829179	4.970653754	6.672491173	-0.443829179	-0.443829179	-0.443829179	7.399341868	-0.443829179	-0.443829179	5.287155691	-0.443829179	-0.443829179	5.419543699	6.732633839	5.048483761	-0.443829179	3.224383638	-0.443829179	-0.443829179	-0.443829179	-0.443829179	2.898068461	3.313133642	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	-0.443829179	6.571638394	-0.443829179	2.831598816	-0.443829179	3.313133642	1.669135055	-0.443829179	2.299939105	2.898068461
F29W1	AX	7.161196869	-0.540414394	4.368892648	-0.540414394	-0.540414394	-0.540414394	4.552219735	-0.540414394	3.784320128	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	3.080283547	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	6.145446553	5.977793863	4.284986012	3.683095985	6.134032207	7.116653562	5.882094398	-0.540414394	5.333238708	5.711839752	-0.540414394	5.307337234	6.943494491	-0.540414394	-0.540414394	3.656103793	-0.540414394	4.637787673	3.127798423	-0.540414394	5.47596447	-0.540414394	-0.540414394	5.264446715	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	5.672556	5.037942277	-0.540414394	-0.540414394	5.756360029	4.716607381	5.449002603	4.355388053	-0.540414394	4.91374054	-0.540414394	-0.540414394	-0.540414394	2.801483245	3.83133231	5.893840239	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	3.080283547	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	6.213447747	1.572549839	-0.540414394	-0.540414394	-0.540414394	4.832757419	-0.540414394	-0.540414394	-0.540414394	-0.540414394	-0.540414394	6.389902625	-0.540414394	2.07897017	2.504108043	-0.540414394	5.037942277	-0.540414394	3.540199975	4.865941716
F33W1	AX	-0.613100809	-0.613100809	4.167549402	-0.613100809	6.125805386	-0.613100809	2.241277346	6.138638415	-0.613100809	-0.613100809	-0.613100809	-0.613100809	-0.613100809	-0.613100809	1.251683795	-0.613100809	3.555676348	-0.613100809	-0.613100809	2.431421628	3.100471257	4.47953332	3.583417378	4.615086676	-0.613100809	3.404100877	4.776800796	4.071552487	1.499863424	2.957711478	-0.613100809	4.490638376	3.781348345	6.196440077	5.788514819	5.574042656	-0.613100809	-0.613100809	3.336393127	-0.613100809	4.662692047	-0.613100809	-0.613100809	6.121490851	7.483356725	4.65335055	5.213435491	3.370819935	-0.613100809	-0.613100809	-0.613100809	-0.613100809	-0.613100809	4.24105787	-0.613100809	1.864201241	3.143862012	-0.613100809	4.490638376	-0.613100809	4.088205661	-0.613100809	6.532310387	-0.613100809	-0.613100809	-0.613100809	4.152176309	-0.613100809	4.30953088	-0.613100809	3.527143742	4.120702428	-0.613100809	4.269012171	-0.613100809	2.006283755	5.913127809	4.335659081	-0.613100809	3.497773055	6.624023617	2.006283755	-0.613100809	-0.613100809	-0.613100809	5.653064185	-0.613100809	-0.613100809	-0.613100809	-0.613100809	-0.613100809	2.662327185	-0.613100809	-0.613100809	3.711633713	5.412106186	-0.613100809	-0.613100809	-0.613100809	4.104586044
F42W1	AX	-0.676508644	-0.676508644	-0.676508644	6.432404815	5.659673276	2.368013794	5.554509524	4.163374275	1.43645559	-0.676508644	-0.676508644	6.183869109	-0.676508644	-0.676508644	3.717940511	2.944189298	6.011619621	6.578761572	-0.676508644	5.094932479	3.520009543	1.94287592	3.844291302	4.696663169	5.036623921	6.224954151	5.012314003	3.372901946	-0.676508644	4.041178209	3.161965673	4.404895721	4.688192132	5.71601739	3.901944154	4.908695024	4.679648722	-0.676508644	3.122040211	3.520009543	3.372901946	3.956453559	-0.676508644	5.111782077	6.632521157	2.177869511	2.991704173	3.037063423	-0.676508644	-0.676508644	6.359959619	3.307412101	3.43436522	3.920446069	3.883093454	4.119281902	5.111782077	4.570993783	-0.676508644	3.648225878	4.888011763	-0.676508644	2.277454217	3.672008212	-0.676508644	-0.676508644	3.598894051	2.06725964	4.404895721	-0.676508644	4.334732527	6.380528338	-0.676508644	-0.676508644	2.277454217	-0.676508644	-0.676508644	-0.676508644	3.956453559	2.991704173	4.449077396	3.200358104	-0.676508644	-0.676508644	-0.676508644	-0.676508644	-0.676508644	3.272985293	3.307412101	3.883093454	-0.676508644	5.424828949	-0.676508644	2.451049022	3.372901946	5.042610171	5.49557146	2.177869511	-0.676508644	3.161965673
F44W1	AX	-0.507827995	6.657454695	2.7676	-0.507827995	6.275291275	-0.507827995	7.059376654	5.568771169	-0.507827995	-0.507827995	-0.507827995	-0.507827995	-0.507827995	-0.507827995	3.205744072	-0.507827995	4.670374073	-0.507827995	-0.507827995	6.323536989	2.111556569	3.863918709	4.550731288	3.951790795	-0.507827995	4.478887116	5.463201907	3.509373692	5.345157877	1.605136239	-0.507827995	4.606894277	5.334661848	-0.507827995	5.50855087	4.193478476	-0.507827995	-0.507827995	3.951790795	-0.507827995	4.550731288	3.7675747	6.418927451	3.509373692	6.73321263	-0.507827995	4.606894277	-0.507827995	-0.507827995	4.012971951	-0.507827995	-0.507827995	-0.507827995	3.972603201	-0.507827995	4.848329371	4.710560294	-0.507827995	2.536694443	1.969474056	4.758623364	-0.507827995	-0.507827995	-0.507827995	5.716010103	-0.507827995	2.111556569	-0.507827995	3.7675747	-0.507827995	-0.507827995	-0.507827995	-0.507827995	-0.507827995	2.7676	4.089126718	4.491225335	-0.507827995	-0.507827995	-0.507827995	4.999349582	3.90881963	-0.507827995	-0.507827995	-0.507827995	-0.507827995	7.207660476	2.619729671	-0.507827995	-0.507827995	-0.507827995	5.712400642	-0.507827995	3.29072086	2.619729671	5.035572303	-0.507827995	-0.507827995	-0.507827995	4.125134208
F53W1	AX	2.865944209	4.973533531	2.427800137	4.883357012	-0.847627858	2.909334963	5.33201229	5.346963045	2.006750298	4.075003832	-0.847627858	-0.847627858	-0.847627858	-0.847627858	3.477106664	3.169573829	4.542273748	3.136292887	-0.847627858	-0.847627858	3.767492659	1.896140426	3.375882521	3.948162688	3.933022353	3.569019767	4.847327897	3.802863278	-0.847627858	3.321149299	4.256111327	4.574916385	5.504526291	5.056246633	2.82058496	5.494973599	-0.847627858	1.464007071	3.348890329	2.427800137	4.871490957	3.348890329	6.316248461	3.933022353	5.061195913	3.590736147	3.321149299	3.263246006	5.452490492	4.101132033	-0.847627858	3.348890329	3.902036141	3.029238891	3.136292887	3.402165243	3.948162688	2.19689458	1.017156747	2.106335003	4.006530821	-0.847627858	1.896140426	4.245006272	2.279929809	-0.847627858	4.59084663	2.82058496	2.723184429	7.59544897	4.320270152	6.190437723	-0.847627858	-0.847627858	2.865944209	-0.847627858	-0.847627858	-0.847627858	4.020605649	3.169573829	3.632803338	2.494269782	-0.847627858	5.305298242	2.99084646	-0.847627858	-0.847627858	2.615263093	3.402165243	2.670678932	4.151425472	4.491220552	-0.847627858	-0.847627858	3.870058996	3.820090233	-0.847627858	-0.847627858	-0.847627858	3.590736147
