name	CARGs	M9	F29	F42	F4	F9	M17	M24	F1	M11	F23	M1	F44	F11	F33	F53
46__Clostridium leptum	CARG3	0.791938173	0.011453933	2.944876283	1.991763282	2.20444805	0.755274354	2.078814606	0.98502282	-0.144070791	0.025877149	1.048561768	0.965053644	-1.3986919	1.867036489	3.289184819
432_Bacteroides cellulosilyticus	CARG3	0.027813146	0.038647995	1.566461373	0.074616178	2.91423605	2.104203998	0.094438177	-0.004570731	-0.144070791	0.025877149	-0.485368592	0.020759891	0.153740375	2.914397021	0.075483649
73__Eubacterium g23	CARG3	0.027813146	0.572382988	0.090498128	0.074616178	0.036316434	0.497167685	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	-3.723126373	0.679357924	0.075483649
16__Phascolarctobacterium faecium	CARG3	0.027813146	0.038647995	0.090498128	0.380716783	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	-0.61958282	0.060018866	0.075483649
80__Barnesiella sp.	CARG3	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	-2.74040552	0.060018866	0.075483649
79__Muribaculaceae	CARG4	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	1.139596406	0.025877149	0.012469837	0.020759891	0.153740375	0.060018866	0.435145852
32__Mollicultes	CARG4	0.027813146	0.038647995	1.20312768	0.074616178	0.036316434	0.022386845	0.094438177	-2.858948887	2.599697492	0.025877149	0.012469837	0.020759891	0.153740375	0.060018866	1.111575581
42__Megamonas funiformis	CARG4	0.965176454	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	-1.015332041	0.318628032	0.060018866	1.473018809
67__Oscillibacter sp.	CARG4	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	-0.125820752	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	0.153740375	0.718193503	0.075483649
711_Eubacterium g23	CARG4	0.027813146	0.038647995	3.787858005	0.074616178	0.036316434	-1.013705087	0.212437125	-0.004570731	0.334452696	0.025877149	0.012469837	-1.513170469	0.153740375	0.060018866	2.181113784
151_Bacteroides mediterraneensis	CARG4	0.027813146	0.038647995	0.090498128	1.62476353	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	-4.896837205	0.020759891	0.153740375	0.060018866	0.075483649
62__Bacteroides sp.	CARG4	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	-0.385469287	0.012469837	0.020759891	0.153740375	0.060018866	0.075483649
71__Ruminococcaceae	CARG4	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	-4.359276867	0.020759891	0.153740375	0.060018866	0.075483649
