name	CARGs	M9	F29	F42	F4	F9	M17	M24	F1	M11	F23	M1	F44	F11	F33	F53
26__Bacteroides ovatus	CARG5	-0.422447096	-0.743508463	3.71119607	2.431610356	1.626445621	2.64339774	2.388708543	0.968108517	0.684621881	0.210529802	4.513289098	1.547800799	2.01852498	0.060018866	-2.401818401
30__Parabacteroides  distasonis	CARG5	-2.426915602	0.348660387	-0.067955501	1.272577257	-0.677933523	-0.335657024	-0.246375601	-1.325018527	1.656804511	-1.971462773	-0.41871731	-1.468600776	-1.660759273	-0.336298152	-1.761956035
66__Bacteroides fragilis	CARG5	-0.896631388	0.038647995	0.090498128	0.572454606	0.036316434	-0.452489121	0.094438177	-1.538501091	-0.144070791	0.025877149	-1.023622095	-1.655569648	-2.973817291	0.024309894	-2.236151279
72__Eubacterium g24	CARG5	0.027813146	0.038647995	0.090498128	0.074616178	0.834765374	0.022386845	0.094438177	-0.004570731	0.89202114	0.025877149	0.012469837	0.020759891	0.153740375	-2.417283185	-3.723065206
6___Prevotella copri	CARG6	0.688452011	1.074739927	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	0.516564513	0.025877149	1.048561768	0.020759891	2.06199533	1.593949225	1.997534684
21__Coprobacillus sp.	CARG6	-1.498314961	0.038647995	-1.572475461	-0.297141446	-0.576201012	-0.266062589	-1.468283489	-0.512743834	0.818615841	-0.9932829	-0.799693638	-1.451922377	-0.24598632	-0.179622278	-1.099168673
52__Coprococcus comes	CARG6	0.027813146	5.257036284	0.187877085	0.507836091	0.597228398	0.022386845	-0.450801688	0.403799948	-1.696410007	0.588523072	0.846883185	0.435878799	0.551042173	0.426638215	1.47353005
98__Bacteroides massiliensis	CARG6	0.027813146	0.79252655	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	-3.000425701	1.711200785	0.020759891	0.153740375	1.096110797	0.075483649
20__Ruminococcus faecis	CARG6	0.027813146	0.038647995	-0.712868276	0.074616178	-0.376085118	0.022386845	-1.163071887	-0.347597981	-0.633274922	-0.91317126	-0.305023386	-1.184510772	0.269672902	-1.159166112	1.131344094
69__Adlercreutzia equolifaciens 	CARG6	0.027813146	5.108695055	0.211491439	1.236147304	0.309495945	0.653586617	-0.99907206	0.526533068	-0.144070791	0.025877149	0.624987283	0.020759891	0.95892675	0.761604915	-0.983977732
