name	CARGs	M9	F29	F42	F4	F9	M17	M24	F1	M11	F23	M1	F44	F11	F33	F53
11__Subdoligranulum variabile	CARG1	0.027813146	0.038647995	0.668283653	-0.006035169	0.688014603	0.022386845	0.59922646	0.04280744	-0.581155647	1.897561157	1.63581497	1.711757515	0.115298743	0.783627689	0.292821397
4___Bifidobacterium longum	CARG1	0.649640443	1.074739927	1.460861372	0.074616178	0.164493663	0.022386845	0.681776671	-0.657696198	-0.144070791	2.08353559	5.916064764	0.776012921	1.78667916	0.802902674	2.132340275
85__Blautia obeum	CARG1	-0.52649759	0.038647995	0.769773197	1.87712368	1.799991341	3.899253594	1.145235715	-0.862728427	-0.724909968	4.410596234	2.246927694	2.148585999	0.784544425	0.873676108	2.192494669
38__Phascolarctobacterium succinatutens	CARG1	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	1.640359166	0.619715751	0.153740375	0.060018866	0.691630099
53__Bacteroides plebeius	CARG1	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	1.751127632	0.335174105	0.020759891	0.153740375	0.060018866	1.111575581
56__Bacteroides sp	CARG1	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	1.679353366	5.023711008	2.133724125	0.153740375	0.060018866	0.075483649
27__Blautia wexlerae	CARG2	3.931227777	1.47281586	1.240891315	0.93336318	-1.052861823	0.486021244	0.586032438	-0.140835611	-1.33255179	1.690227104	0.62843006	2.28757776	0.38633179	-0.723407524	1.230145089
13__Fusicatenibacter saccharivorans	CARG2	1.583980744	0.038647995	0.56372261	0.559668004	0.291856087	-0.06679296	-0.400290252	-0.172433981	5.461396995	-0.323166411	1.909956778	0.94669369	0.768158844	-1.029509959	1.481650243
61__Lachnospiraceae	CARG2	3.256584771	0.038647995	1.252248449	-2.23701875	-0.47843725	0.022386845	-0.467869403	0.277481255	-0.163283678	1.43807447	1.770034864	0.518598319	2.112601353	0.818499261	3.521393686
