name	M9	F29	F42	F4	F9	M17	M24	F1	M11	F23	M1	F44	F11	F33	F53
13__Fusicatenibacter saccharivorans	1.583980744	0.038647995	0.56372261	0.559668004	0.291856087	-0.06679296	-0.400290252	-0.172433981	5.461396995	-0.323166411	1.909956778	0.94669369	0.768158844	-1.029509959	1.481650243
2___Agathobacter rectalis	-0.487670871	0.038647995	-1.428446279	0.268426174	-1.850124976	1.36940161	-0.419376642	-0.277532758	3.555532942	-0.440683109	-1.415368463	-0.360598819	-1.427614037	-2.298328195	-1.357833831
20__Ruminococcus faecis	0.027813146	0.038647995	-0.712868276	0.074616178	-0.376085118	0.022386845	-1.163071887	-0.347597981	-0.633274922	-0.91317126	-0.305023386	-1.184510772	0.269672902	-1.159166112	1.131344094
50__Ruminococcus torques	-0.864775474	0.959968076	-1.246347958	0.520942077	0.036316434	-1.061997561	-1.091843514	-0.004570731	-0.144070791	-1.010214783	0.012469837	0.732539156	-3.54051675	-0.154507938	-2.253891677
61__Lachnospiraceae	3.256584771	0.038647995	1.252248449	-2.23701875	-0.47843725	0.022386845	-0.467869403	0.277481255	-0.163283678	1.43807447	1.770034864	0.518598319	2.112601353	0.818499261	3.521393686
73__Eubacterium g23	0.027813146	0.572382988	0.090498128	0.074616178	0.036316434	0.497167685	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	-3.723126373	0.679357924	0.075483649
151_Bacteroides mediterraneensis	0.027813146	0.038647995	0.090498128	1.62476353	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	-4.896837205	0.020759891	0.153740375	0.060018866	0.075483649
16__Phascolarctobacterium faecium	0.027813146	0.038647995	0.090498128	0.380716783	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	-0.61958282	0.060018866	0.075483649
62__Bacteroides sp.	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	-0.385469287	0.012469837	0.020759891	0.153740375	0.060018866	0.075483649
69__Adlercreutzia equolifaciens 	0.027813146	5.108695055	0.211491439	1.236147304	0.309495945	0.653586617	-0.99907206	0.526533068	-0.144070791	0.025877149	0.624987283	0.020759891	0.95892675	0.761604915	-0.983977732
71__Ruminococcaceae	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	-4.359276867	0.020759891	0.153740375	0.060018866	0.075483649
25__Streptococcus vestibularis	0.097044938	-0.927867242	-2.664771145	-0.99606848	1.328476731	-0.599046731	-1.617577518	0.293698023	-0.427646082	-1.681799204	1.418951799	-0.50236097	-0.084994617	0.331297659	-2.871310791
66__Bacteroides fragilis	-0.896631388	0.038647995	0.090498128	0.572454606	0.036316434	-0.452489121	0.094438177	-1.538501091	-0.144070791	0.025877149	-1.023622095	-1.655569648	-2.973817291	0.024309894	-2.236151279
72__Eubacterium g24	0.027813146	0.038647995	0.090498128	0.074616178	0.834765374	0.022386845	0.094438177	-0.004570731	0.89202114	0.025877149	0.012469837	0.020759891	0.153740375	-2.417283185	-3.723065206
76__Alistipes obesi	0.027813146	-0.459190433	-0.803155639	-0.402044632	-0.143990655	-0.307887025	0.094438177	-0.170237853	-0.144070791	0.025877149	2.293954758	0.020759891	-0.882351556	0.060018866	-1.551320836
80__Barnesiella sp.	0.027813146	0.038647995	0.090498128	0.074616178	0.036316434	0.022386845	0.094438177	-0.004570731	-0.144070791	0.025877149	0.012469837	0.020759891	-2.74040552	0.060018866	0.075483649
