AX Group	AX_Buty_W6.BL	MCC_Buty_W6.BL
BL_ALL.OTU_PC2	93.93	98.7
BL_CARG_PC2	92.28	97.56
BL_Sig.OTU_PC1.2	95.34	100
BL_CARG_6	91.19	97.12
BL_E.oxidoreducens	91.77	94.5
W1_ALL.OTU_PC.3	96.45	98.29
W1_CARG_PC1.2	100	96
W1_Sig.OTU_PC2	94.7	98.92
W1_CARG_7	96.39	94.2
W1_E.oxidoreducens	85.49	97.03
W6_ALL.OTU_PC.3	97.82	93.32
W6_CARG_PC.3	90.28	98.48
W6_Sig.OTU_PC.2	93.35	98.17
W6_CARG_3	90.36	99.53
W6_E.oxidoreducens	89.93	98.17
