AX Group	AX_Acetate_W6.BL	MCC_Acetate_W6.BL
BL_ALL.OTU_PC2	95.65	99.9
BL_CARG_PC2	98.16	99
BL_Sig.OTU_PC1.2	98.103	99.05
BL_CARG_5	94.31	97.01
BL_E.oxidoreducens	96.18	99.6
W1_ALL.OTU_PC.3	97.7	99.5
W1_CARG_PC.1.2	100	98.58
W1_Sig.OTU_PC.3	94.45	97.97
W1_CARG_7	97.19	99.1
W1_B.uniformis	91.74	99.05
W6_ALL.OTU_PC.1	97.25	99.64
W6_CARG_PC.2	94.8	99.05
W6_Sig.OTU_PC1.2	97.25	98.46
W6_CARG_1.2	99.15	100
W6_Subdoligranulum.sp	95.35	99.5
