AX Group	AX_Propionate_W6.BL	MCC_Propionate_W6.BL
BL_ALL.OTU_PC1.3	94.2	94
BL_CARG_PC2	100	98.5
BL_Sig.OTU_PC2	95.2	98.3
BL_CARG_5.7	98.47	99.5
BL_B.obeum_C.leptum	98.83	99.06
W1_ALL.OTU_PC1.2	96.6	99.25
W1_CARG_PC2	93.6	97.19
W1_Sig.OTU_PC1	94.41	97.83
W1_CARG_1	92.87	99.5
W1_P.copri_P.succinatutens	98.24	96.87
W6_ALL.OTU_PC1.2	87.14	97.5
W6_CARG_PC2	91.3	97.8
W6_Sig.OTU_PC1.2	88.5	98.5
W6_CARG_1	90.6	100
W6_B.obeum	93.75	99.5
